-3,PER VEHICLE,2,Opposite,Directional,48.00,15,35.00,AB,Westfir store,4345.466&,N,12229.609&,W,Fred Gerding,5,19,11,14,51,5,24,11,14,44,North,South,F,F,F,F,7.00,T,95.00,F,T,T,T,Best Match,40.00,3.40,117.00,3.40,16.00,7.00,7.00,5.00,30,Div By 2,10,12,24,36,48,60,72,84,96,108,120
-2,"Westfir store","4345.466,N","12229.609,W","Fred Gerding","","","","041311-0101 OMG","Omega","1.25",PER VEHICLE,563.27,05/19/11,14:51:00,05/24/11,14:44:00,2,15
-1,1,"North",121.92,A-A,,Directional
-1,2,"South",121.92,A-A,,Directional
2,05/20/11,12:46:05.02,396.31,2,278.88,278.88
2,05/20/11,12:50:01.69,543.54,3,594.42,269.54,324.88
1,05/20/11,12:55:51.21,426.05,2,269.56,269.56
2,05/20/11,12:56:17.82,536.30,2,305.53,305.53
2,05/20/11,12:56:19.89,569.05,2,399.21,399.21
2,05/20/11,12:57:35.36,353.70,2,277.71,277.71
1,05/20/11,12:58:29.40,443.26,2,273.43,273.43
2,05/20/11,13:01:54.16,522.89,2,283.61,283.61
1,05/20/11,13:03:53.33,343.38,2,241.00,241.00
2,05/20/11,13:04:19.36,508.94,2,295.61,295.61
1,05/20/11,13:06:09.59,387.70,2,352.56,352.56
2,05/20/11,13:09:34.99,332.86,3,811.99,336.86,475.14
1,05/20/11,13:11:23.72,483.60,2,261.97,261.97
2,05/20/11,13:14:01.66,484.13,2,338.70,338.70
2,05/20/11,13:14:42.36,302.28,3,252.52,41.92,210.60
1,05/20/11,13:16:02.82,343.84,2,252.49,252.49
2,05/20/11,13:21:15.06,430.56,2,337.53,337.53
2,05/20/11,13:22:38.80,439.01,2,1881.67,1881.67
2,05/20/11,13:22:50.70,422.84,2,312.53,312.53
2,05/20/11,13:23:56.22,463.87,2,145.55,145.55
2,05/20/11,13:24:41.27,480.89,2,272.29,272.29
2,05/20/11,13:24:44.13,476.66,2,265.41,265.41
2,05/20/11,13:27:46.39,394.74,2,265.93,265.93
2,05/20/11,13:28:13.46,437.12,2,282.28,282.28
2,05/20/11,13:28:15.15,480.58,2,280.83,280.83
1,05/20/11,13:29:18.99,422.52,2,218.02,218.02
1,05/20/11,13:29:46.60,463.48,2,310.86,310.86
2,05/20/11,13:30:26.38,499.61,2,330.88,330.88
1,05/20/11,13:30:38.43,389.07,2,264.36,264.36
2,05/20/11,13:32:17.35,302.45,2,276.22,276.22
1,05/20/11,13:34:29.38,510.78,2,354.41,354.41
1,05/20/11,13:34:31.61,458.54,2,274.32,274.32
2,05/20/11,13:35:02.03,491.06,2,264.90,264.90
1,05/20/11,13:36:44.84,581.42,3,579.55,262.48,317.08
2,05/20/11,13:37:26.93,291.66,2,279.33,279.33
1,05/20/11,13:37:40.57,462.50,2,351.65,351.65
1,05/20/11,13:38:07.70,500.36,2,146.09,146.09
2,05/20/11,13:40:31.41,459.35,2,223.73,223.73
1,05/20/11,13:40:54.70,396.38,2,319.05,319.05
1,05/20/11,13:42:53.86,566.34,2,265.28,265.28
2,05/20/11,13:42:56.42,367.38,2,363.61,363.61
2,05/20/11,13:48:02.97,361.66,2,271.44,271.44
1,05/20/11,13:50:37.19,544.08,2,300.98,300.98
1,05/20/11,13:51:07.58,269.72,2,263.02,263.02
1,05/20/11,13:52:10.41,298.32,2,417.53,417.53
2,05/20/11,13:52:57.80,366.22,2,272.24,272.24
2,05/20/11,13:53:19.02,213.31,2,322.13,322.13
2,05/20/11,13:56:30.86,602.90,2,272.59,272.59
2,05/20/11,14:03:28.64,470.48,2,264.85,264.85
1,05/20/11,14:04:34.50,300.60,3,795.79,331.47,464.32
2,05/20/11,14:08:09.29,305.71,2,243.36,243.36
2,05/20/11,14:09:33.74,466.53,2,260.56,260.56
1,05/20/11,14:13:34.76,546.66,2,247.61,247.61
1,05/20/11,14:13:48.07,434.74,2,258.14,258.14
1,05/20/11,14:15:41.95,386.95,2,272.57,272.57
